master_nlc,station_name,latitude,longitude
5435,Streatham Hill,51.43828700,-0.12754467
1483,Sudbury & Harrow Road,51.55435100,-0.31604688
720,Sudbury Hill,51.55687800,-0.33625023
1484,Sudbury Hill Harrow,51.55853200,-0.33618989
721,Sudbury Town,51.55074800,-0.31561741
5155,Sundridge Park,51.41378900,0.02143235
5571,Surbiton,51.39241400,-0.30400331
1083,Surrey Quays,51.49342500,-0.04782577
5385,Sutton (Surrey),51.35967900,-0.19089299
5436,Sutton Common,51.37537000,-0.19603630
5075,Swanley,51.39331800,0.16848905
723,Swiss Cottage,51.54372600,-0.17497882
5437,Sydenham,51.42694500,-0.05454445
5085,Sydenham Hill,51.43261100,-0.08015681
5609,Syon Lane,51.48178100,-0.32471236
5386,Tadworth,51.29142700,-0.23585791
3151,Taplow,51.52343800,-0.68161904
5387,Tattenham Corner,51.30862700,-0.24218571
5572,Teddington,51.42446800,-0.33257692
724,Temple,51.51096900,-0.11433396
5610,Thames Ditton,51.38905900,-0.33915348
6949,Theobalds Grove,51.69198200,-0.03560424
